ProbeID	miRNA_name
20503854	hsa-miR-520g-5p
20503855	hsa-miR-520g-3p
20503856	hsa-miR-516b-5p
20503857	hsa-miR-516b-3p
20503858	hsa-miR-518e-5p
20503859	hsa-miR-518e-3p
20503860	hsa-miR-518a-5p
20503861	hsa-miR-518a-3p
20503862	hsa-miR-518d-5p
20503863	hsa-miR-518d-3p
20503864	hsa-miR-517c-3p
20503865	hsa-miR-520h
20503866	hsa-miR-522-5p
20503867	hsa-miR-522-3p
20503868	hsa-miR-519a-5p
20503869	hsa-miR-519a-3p
20503870	hsa-miR-527
20503871	hsa-miR-516a-5p
20503872	hsa-miR-516a-3p
20503873	hsa-miR-499a-5p
20503874	hsa-miR-499a-3p
20503875	hsa-miR-500a-5p
20503876	hsa-miR-500a-3p
20503877	hsa-miR-501-5p
20503878	hsa-miR-501-3p
20503879	hsa-miR-502-5p
20503880	hsa-miR-502-3p
20503881	hsa-miR-450a-2-3p
20503882	hsa-miR-503-5p
20503883	hsa-miR-503-3p
20503884	hsa-miR-504-5p
20503885	hsa-miR-504-3p
20503886	hsa-miR-505-5p
20503887	hsa-miR-505-3p
20503888	hsa-miR-513a-5p
20503889	hsa-miR-513a-3p
20503890	hsa-miR-506-5p
20503891	hsa-miR-506-3p
20503892	hsa-miR-507
20503893	hsa-miR-508-5p
20503894	hsa-miR-508-3p
20503895	hsa-miR-509-5p
20503896	hsa-miR-509-3p
20503897	hsa-miR-510-5p
20503898	hsa-miR-510-3p
20503899	hsa-miR-514a-5p
20503900	hsa-miR-514a-3p
20503907	hsa-miR-532-5p
20503908	hsa-miR-532-3p
20504186	hsa-miR-455-5p
20504187	hsa-miR-455-3p
20504188	hsa-miR-539-5p
20504189	hsa-miR-539-3p
20504190	hsa-miR-544a
20504191	hsa-miR-545-5p
20504192	hsa-miR-545-3p
20504216	hsa-miR-376a-2-5p
20504217	hsa-miR-487b-5p
20504218	hsa-miR-487b-3p
20504268	hsa-miR-551a
20504269	hsa-miR-552-5p
20504270	hsa-miR-552-3p
20504271	hsa-miR-553
20504272	hsa-miR-554
20504273	hsa-miR-92b-5p
20504274	hsa-miR-92b-3p
20504275	hsa-miR-555
20504276	hsa-miR-556-5p
20504277	hsa-miR-556-3p
20504278	hsa-miR-557
20504279	hsa-miR-558
20504280	hsa-miR-559
20504281	hsa-miR-561-5p
20504282	hsa-miR-561-3p
20504283	hsa-miR-562
20504284	hsa-miR-563
20504285	hsa-miR-564
20504286	hsa-miR-566
20504287	hsa-miR-567
20504288	hsa-miR-568
20504289	hsa-miR-551b-5p
20504290	hsa-miR-551b-3p
20504291	hsa-miR-569
20504292	hsa-miR-570-5p
20504293	hsa-miR-570-3p
20504294	hsa-miR-571
20504295	hsa-miR-572
20504296	hsa-miR-573
20504297	hsa-miR-574-5p
20504298	hsa-miR-574-3p
20504299	hsa-miR-575
20504300	hsa-miR-576-5p
20504301	hsa-miR-576-3p
20504302	hsa-miR-577
20504303	hsa-miR-578
20504304	hsa-miR-579-5p
20504305	hsa-miR-579-3p
20504306	hsa-miR-580-5p
20504307	hsa-miR-580-3p
20504308	hsa-miR-581
20504309	hsa-miR-582-5p
20504310	hsa-miR-582-3p
20504311	hsa-miR-583
20504312	hsa-miR-584-5p
20504313	hsa-miR-584-3p
20504314	hsa-miR-585-5p
20504315	hsa-miR-585-3p
20504316	hsa-miR-548a-3p
20504317	hsa-miR-586
20504318	hsa-miR-587
20504319	hsa-miR-548b-5p
20504320	hsa-miR-548b-3p
20504321	hsa-miR-588
20504322	hsa-miR-589-5p
20504323	hsa-miR-589-3p
20504324	hsa-miR-550a-5p
20504325	hsa-miR-550a-3p
20504326	hsa-miR-590-5p
20504327	hsa-miR-590-3p
20504328	hsa-miR-591
20504329	hsa-miR-592
20504330	hsa-miR-593-5p
20504331	hsa-miR-593-3p
20504332	hsa-miR-595
20504333	hsa-miR-596
20504334	hsa-miR-597-5p
20504335	hsa-miR-597-3p
20504336	hsa-miR-598-5p
20504337	hsa-miR-598-3p
20504338	hsa-miR-599
20504339	hsa-miR-548a-5p
20504340	hsa-miR-600
20504341	hsa-miR-601
20504342	hsa-miR-602
20504343	hsa-miR-603
20504344	hsa-miR-604
20504345	hsa-miR-605-5p
20504346	hsa-miR-605-3p
20504347	hsa-miR-606
20504348	hsa-miR-607
20504349	hsa-miR-608
20504350	hsa-miR-609
20504351	hsa-miR-610
20504352	hsa-miR-611
20504353	hsa-miR-612
20504354	hsa-miR-613
20504355	hsa-miR-614
20504356	hsa-miR-615-5p
20504357	hsa-miR-615-3p
20504358	hsa-miR-616-5p
20504359	hsa-miR-616-3p
20504360	hsa-miR-548c-5p
20504361	hsa-miR-548c-3p
20504362	hsa-miR-617
20504363	hsa-miR-618
20504364	hsa-miR-619-5p
20504365	hsa-miR-619-3p
20504366	hsa-miR-620
20504367	hsa-miR-621
20504368	hsa-miR-622
20504369	hsa-miR-623
20504370	hsa-miR-624-5p
20504371	hsa-miR-624-3p
20504372	hsa-miR-625-5p
20504373	hsa-miR-625-3p
20504374	hsa-miR-626
20504375	hsa-miR-627-5p
20504376	hsa-miR-627-3p
20504377	hsa-miR-628-5p
20504378	hsa-miR-628-3p
20504379	hsa-miR-629-5p
20504380	hsa-miR-629-3p
20504381	hsa-miR-630
20504382	hsa-miR-631
20504383	hsa-miR-33b-5p
20504384	hsa-miR-33b-3p
20504385	hsa-miR-632
20504386	hsa-miR-633
20504387	hsa-miR-634
20504388	hsa-miR-635
20504389	hsa-miR-636
20504390	hsa-miR-637
20504391	hsa-miR-638
20504392	hsa-miR-639
20504393	hsa-miR-640
20504394	hsa-miR-641
20504395	hsa-miR-642a-5p
20504396	hsa-miR-642a-3p
20504397	hsa-miR-643
20504398	hsa-miR-644a
20504399	hsa-miR-645
20504400	hsa-miR-646
20504401	hsa-miR-647
20504402	hsa-miR-648
20504403	hsa-miR-649
20504404	hsa-miR-650
20504405	hsa-miR-651-5p
20504406	hsa-miR-651-3p
20504407	hsa-miR-652-5p
20504408	hsa-miR-652-3p
20504409	hsa-miR-548d-5p
20504410	hsa-miR-548d-3p
20504411	hsa-miR-661
20504412	hsa-miR-662
20504413	hsa-miR-663a
20504414	hsa-miR-449b-5p
20504415	hsa-miR-449b-3p
20504416	hsa-miR-653-5p
20504417	hsa-miR-653-3p
20504418	hsa-miR-411-5p
20504419	hsa-miR-411-3p
20504420	hsa-miR-654-5p
20504421	hsa-miR-654-3p
20504422	hsa-miR-655-5p
20504423	hsa-miR-655-3p
20504424	hsa-miR-656-5p
20504425	hsa-miR-656-3p
20504426	hsa-miR-549a
20504427	hsa-miR-657
20504428	hsa-miR-658
20504429	hsa-miR-659-5p
20504430	hsa-miR-659-3p
20504431	hsa-miR-660-5p
20504432	hsa-miR-660-3p
20504433	hsa-miR-421
20504434	hsa-miR-542-5p
20504435	hsa-miR-542-3p
20504549	hsa-miR-758-5p
20504550	hsa-miR-758-3p
20504551	hsa-miR-1264
20504552	hsa-miR-671-5p
20504553	hsa-miR-671-3p
20504554	hsa-miR-668-5p
20504555	hsa-miR-668-3p
20504556	hsa-miR-550a-3-5p
20504557	hsa-miR-767-5p
20504558	hsa-miR-767-3p
20504559	hsa-miR-1224-5p
20504560	hsa-miR-1224-3p
20504561	hsa-miR-151b
20504562	hsa-miR-320b
20504563	hsa-miR-320c
20504564	hsa-miR-1296-5p
20504565	hsa-miR-1296-3p
20504566	hsa-miR-1468-5p
20504567	hsa-miR-1468-3p
20504568	hsa-miR-1323
20504569	hsa-miR-1271-5p
20504570	hsa-miR-1271-3p
20504571	hsa-miR-1301-5p
20504572	hsa-miR-1301-3p
20504573	hsa-miR-454-5p
20504574	hsa-miR-454-3p
20504575	hsa-miR-1185-5p
20504576	hsa-miR-1185-2-3p
20504577	hsa-miR-449c-5p
20504578	hsa-miR-449c-3p
20504579	hsa-miR-1283
20504580	hsa-miR-769-5p
20504581	hsa-miR-769-3p
20504582	hsa-miR-766-5p
20504583	hsa-miR-766-3p
20504584	hsa-miR-378d
20504585	hsa-miR-1185-1-3p
