Gene,logFC,diff_MZ1,diff_MZ2,diff_MZ3,t_moderated,P.Value,adj.P.Val,P.ordinary_t,consistent_direction
LINC00613,0.19526999999999994,0.42282,0.13689,0.0260999999999999,1.338367047412988,0.21316406677546587,0.965529473937469,0.24029008106051764,True
SDHA,0.19789333333333348,0.4433600000000002,0.007080000000000197,0.14324000000000003,1.3382767212230677,0.21319237035613342,0.965529473937469,0.26442669269417773,True
ZDHHC8P1,0.27258000000000004,0.9049,-0.17999999999999994,0.09284000000000003,1.3381685062445627,0.21322628354148326,0.965529473937469,0.4908568394511676,False
TBCEL,-0.2215666666666666,0.0295399999999999,-0.6274199999999999,-0.06681999999999988,-1.3380318046173956,0.21326913058917327,0.965529473937469,0.3924497468266298,False
GADL1,0.19971333333333333,0.39698999999999973,0.2632000000000003,-0.06105000000000005,1.3380202515171258,0.2132727520660662,0.965529473937469,0.27966291541138527,False
LOC644919,0.19052,0.27303,0.30075999999999997,-0.0022300000000000653,1.3379861606281016,0.21328343862301521,0.965529473937469,0.18763705328765662,False
NDNL2,0.2504533333333332,-0.2996100000000004,0.46858999999999984,0.5823800000000001,1.3379585702290135,0.21329208778605147,0.965529473937469,0.46132183599712573,False
CLEC4A,0.23653,0.03876000000000013,-0.05080000000000018,0.72163,1.3376759670852887,0.21338069655174083,0.965529473937469,0.434495115560629,False
LOC100507670,0.22201666666666667,0.5305199999999999,-0.16944000000000004,0.3049700000000002,1.3375674678439444,0.21341472418861987,0.965529473937469,0.3943759231206217,False
MIR191,0.22348999999999997,0.5116100000000001,-0.1859200000000003,0.3447800000000001,1.3375649866481727,0.21341550239721757,0.965529473937469,0.39924379044127634,False
TCN1,0.1846133333333333,0.2891299999999999,0.18837000000000015,0.07633999999999985,1.3374301912830604,0.21345778356176587,0.965529473937469,0.09524719467213859,True
HMGN4,0.21644333333333332,0.5854500000000002,0.11508999999999991,-0.0512100000000002,1.3374021724750083,0.21346657308877354,0.965529473937469,0.37398078477703967,False
LOC401357,0.20229666666666665,0.028689999999999216,0.4918900000000006,0.08631000000000011,1.3373482594057122,0.2134834865300853,0.965529473937469,0.29954355171497415,True
LOC101929284,-0.20612333333333335,-0.4454100000000001,0.0945100000000001,-0.2674700000000001,-1.3373260711708603,0.21349044768311393,0.965529473937469,0.32392823777391117,False
RRP12,-0.2052966666666666,-0.4908600000000001,0.046800000000000175,-0.17182999999999993,-1.3373016156595767,0.21349812037468496,0.965529473937469,0.3190231551887905,False
ZNF397,-0.2035666666666666,0.09526000000000012,-0.3254699999999999,-0.38049,-1.3372291578138673,0.2135208547236083,0.965529473937469,0.3082227884045849,False
LOC101929741,0.18281999999999995,0.2637299999999999,0.1806199999999999,0.10411000000000004,1.3372068473743866,0.21352785525101234,0.965529473937469,0.05807920232323743,True
SCARNA21,-0.19055999999999962,-0.005029999999999646,-0.3355199999999998,-0.2311299999999994,-1.3371024769513211,0.2135606069781096,0.965529473937469,0.18994948270269196,True
SPPL2C,-0.21697000000000002,-0.26492000000000004,-0.52366,0.13766999999999996,-1.3368856559136832,0.2136286595755046,0.965529473937469,0.3765602508866408,False
ALDH1L1-AS1,0.18784333333333336,0.31708000000000025,0.2149399999999999,0.03150999999999993,1.336437846267737,0.21376926942810098,0.965529473937469,0.15351473208279806,True
TRIM38,-0.19632999999999998,0.01682999999999968,-0.41232999999999986,-0.19348999999999972,-1.3361562990343558,0.21385771375670753,0.965529473937469,0.2539126466722796,False
GPKOW,0.18286666666666665,0.16565999999999992,0.274,0.10894000000000004,1.335826462678914,0.21396136675498623,0.965529473937469,0.06350268041733527,True
PART1,-0.22852666666666668,0.025739999999999985,-0.67617,-0.035150000000000015,-1.3356851290181824,0.21400579465662178,0.965529473937469,0.41582629716607544,False
DDX23,0.20885333333333342,0.5457400000000001,0.04906999999999995,0.03175000000000017,1.3356820104710418,0.2140067750523119,0.965529473937469,0.3409173211649526,True
NAALADL1,0.19165999999999994,0.03829000000000016,0.3896799999999998,0.14700999999999986,1.3356679576113795,0.21401119297805307,0.965529473937469,0.20629020030259218,True
MIR1253,-0.19571333333333332,-0.42153,-0.0037800000000000056,-0.16183000000000003,-1.335490580455659,0.2140669632703121,0.965529473937469,0.2492726304216531,True
GPCPD1,-0.1963433333333331,0.01364000000000054,-0.4168499999999993,-0.18582000000000054,-1.3354275382198515,0.21408678773892176,0.965529473937469,0.25518985557732055,False
MISP,0.2149133333333333,-0.12952999999999992,0.2601499999999999,0.5141199999999999,1.3352910375906506,0.2141297174840468,0.965529473937469,0.36969456246582827,False
MICU1,-0.18029333333333333,-0.19187999999999983,-0.1717200000000001,-0.1772800000000001,-1.3351730254890486,0.21416683840152137,0.965529473937469,0.0011099193147055284,True
KANK2,-0.25155333333333313,-0.6884399999999999,-0.3385600000000002,0.2723400000000007,-1.3351123596800867,0.21418592305318152,0.965529473937469,0.46479693292062313,False
RNU105B,0.26653666666666664,0.5019500000000001,0.6533599999999999,-0.3557000000000001,1.3350512271449377,0.21420515598219625,0.965529473937469,0.48557300222030814,False
SLC12A1,0.1810033333333333,0.23234999999999995,0.1391,0.17155999999999993,1.3347417160652455,0.21430255374134008,0.965529473937469,0.022047194495941343,True
MIR1302-5,-0.22126666666666672,-0.03272000000000003,-0.6318300000000001,0.0007499999999999729,-1.3347225985487174,0.21430857091664285,0.965529473937469,0.394248487648643,False
CLDND1,-0.19078333333333367,-0.08092000000000077,-0.3911899999999999,-0.10024000000000033,-1.3346550842042915,0.21432982197453945,0.965529473937469,0.19766597929930765,True
MIR4286,-0.18271,-0.2764,-0.11348000000000003,-0.15825000000000006,-1.3345488574835305,0.21436326187842444,0.965529473937469,0.06402091688920968,True
INPP5D,-0.1898666666666665,-0.18447999999999976,-0.3586900000000002,-0.02642999999999951,-1.3344457983352263,0.21439570884499287,0.965529473937469,0.18642666129513424,True
ANKRD33,-0.21230666666666664,-0.28359999999999985,0.12868999999999997,-0.48201000000000005,-1.3343385398723275,0.2144294823164411,0.965529473937469,0.3592143826103974,False
USP14,-0.26998000000000005,0.1493000000000002,-0.9028100000000006,-0.05642999999999976,-1.334296803778911,0.21444262536193065,0.965529473937469,0.4899498980818404,False
LY96,-0.18174333333333328,-0.14814,-0.25898,-0.13810999999999996,-1.334226728288013,0.21446469424950135,0.965529473937469,0.042529483315212536,True
ZNF165,0.19274333333333335,0.3805799999999999,0.1976500000000001,0.0,1.3341031904736647,0.21450360470262197,0.965529473937469,0.22153110269089613,False
LOC101927025,0.19177999999999998,0.16183000000000003,0.02588999999999997,0.38761999999999996,1.3340902248151023,0.21450768881489782,0.965529473937469,0.21069612923844597,True
DNAJC6,-0.3023800000000003,0.0014599999999997948,-1.0745200000000006,0.16591999999999985,-1.333925982888058,0.21455942981139875,0.965529473937469,0.518294035017212,False
MX2,0.22581666666666664,0.6619999999999999,0.023660000000000014,-0.00821000000000005,1.3336792013522987,0.21463719298324827,0.965529473937469,0.40959764811899874,False
REPIN1,0.1810533333333333,0.15425999999999984,0.14658000000000015,0.24231999999999987,1.3335507648347669,0.21467767393654533,0.965529473937469,0.027591475988045705,True
PSMB8-AS1,-0.21794666666666673,-0.5871999999999997,-0.15115000000000034,0.08450999999999986,-1.3335398488846761,0.2146811147507638,0.965529473937469,0.3833827884021743,False
SLC16A14,-0.19091333333333335,-0.02476999999999996,-0.17189999999999994,-0.3760700000000001,-1.3334005467778247,0.2147250282213503,0.965529473937469,0.20173219706380324,True
LOC105372882,-0.24164333333333335,-0.32964000000000004,-0.63878,0.24348999999999993,-1.332900978014111,0.21488257413093098,0.965529473937469,0.44852218061976584,False
UBR4,-0.18962999999999988,-0.21029999999999927,-0.3444400000000005,-0.014149999999999885,-1.3328488782223717,0.21489901013145282,0.965529473937469,0.18663216521744208,True
SCIN,0.25181666666666663,0.26913999999999993,-0.2457499999999999,0.7320599999999999,1.3326747267664267,0.21495395765034944,0.965529473937469,0.4666454022471039,False
CXorf56,0.2596266666666667,0.1791799999999999,0.81484,-0.2151399999999999,1.3326380562049152,0.21496552929808282,0.965529473937469,0.478079770941182,False
FAAP24,0.21560000000000012,0.5922200000000001,0.07794000000000012,-0.023359999999999825,1.332360263981387,0.21505320560513516,0.965529473937469,0.3753084763911081,False
COMMD4,0.19589666666666672,0.15215000000000012,0.005290000000000017,0.43025,1.3320078408738372,0.21516448017069426,0.965529473937469,0.2565518570203642,True
LOC105377624,0.18252666666666664,0.19513999999999987,0.26265000000000005,0.08979000000000004,1.3318996227817677,0.215198658842243,0.965529473937469,0.0682517821103252,True
MIR491,0.19127999999999998,0.3871899999999999,0.15771000000000002,0.028939999999999966,1.3316809298391126,0.215267742911124,0.965529473937469,0.2094384163242563,True
MEA1,0.18386333333333318,0.22294999999999998,0.06264000000000003,0.26599999999999957,1.3316033365985689,0.2152922587426741,0.965529473937469,0.09703860801575478,True
