Ontology,GO_ID,GO_term,candidate_hits,candidate_total,term_size,background_size,odds_ratio,P.Value,Genes,adj.P.Val,FDR_significant,single_gene_supported
BP,GO:0010457,centriole-centriole cohesion,1,57,6,18514,65.9,0.018333365680728072,SGOL1,0.09848854586623686,False,True
BP,GO:0014033,neural crest cell differentiation,1,57,6,18514,65.9,0.018333365680728072,WNT10A,0.09848854586623686,False,True
MF,GO:0015288,porin activity,1,57,6,18514,65.9,0.018333365680728072,TOMM40L,0.09848854586623686,False,True
BP,GO:0018344,protein geranylgeranylation,1,57,6,18514,65.9,0.018333365680728072,RABGGTB,0.09848854586623686,False,True
MF,GO:0019209,kinase activator activity,1,57,6,18514,65.9,0.018333365680728072,MOB1B,0.09848854586623686,False,True
BP,GO:0019563,glycerol catabolic process,1,57,6,18514,65.9,0.018333365680728072,GK5,0.09848854586623686,False,True
MF,GO:0032393,MHC class I receptor activity,1,57,6,18514,65.9,0.018333365680728072,KLRF1,0.09848854586623686,False,True
MF,GO:0061133,endopeptidase activator activity,1,57,6,18514,65.9,0.018333365680728072,PSME2,0.09848854586623686,False,True
BP,GO:0070670,response to interleukin-4,1,57,6,18514,65.9,0.018333365680728072,JAK3,0.09848854586623686,False,True
CC,GO:0070938,contractile ring,1,57,6,18514,65.9,0.018333365680728072,PRC1,0.09848854586623686,False,True
BP,GO:0090267,positive regulation of mitotic cell cycle spindle assembly checkpoint,1,57,6,18514,65.9,0.018333365680728072,PCID2,0.09848854586623686,False,True
BP,GO:0000723,telomere maintenance,2,57,69,18514,9.98100407055631,0.019148042455054897,HIST1H4B;HIST1H4D,0.10168270820960186,False,False
CC,GO:0000779,"condensed chromosome, centromeric region",1,57,7,18514,54.913690476190474,0.021356652808251223,SGOL1,0.10171931543723779,False,True
CC,GO:0001739,sex chromatin,1,57,7,18514,54.913690476190474,0.021356652808251223,PHC1,0.10171931543723779,False,True
MF,GO:0004028,3-chloroallyl aldehyde dehydrogenase activity,1,57,7,18514,54.913690476190474,0.021356652808251223,ALDH3B1,0.10171931543723779,False,True
MF,GO:0004691,cAMP-dependent protein kinase activity,1,57,7,18514,54.913690476190474,0.021356652808251223,PRKX,0.10171931543723779,False,True
BP,GO:0006066,alcohol metabolic process,1,57,7,18514,54.913690476190474,0.021356652808251223,ALDH3B1,0.10171931543723779,False,True
BP,GO:0031497,chromatin assembly,1,57,7,18514,54.913690476190474,0.021356652808251223,CHAF1B,0.10171931543723779,False,True
BP,GO:0046498,S-adenosylhomocysteine metabolic process,1,57,7,18514,54.913690476190474,0.021356652808251223,OCLN,0.10171931543723779,False,True
BP,GO:0048733,sebaceous gland development,1,57,7,18514,54.913690476190474,0.021356652808251223,WNT10A,0.10171931543723779,False,True
BP,GO:0060155,platelet dense granule organization,1,57,7,18514,54.913690476190474,0.021356652808251223,BLOC1S2,0.10171931543723779,False,True
