Gene,logFC,FC_abs,diff_MZ1,diff_MZ2,diff_MZ3,t_moderated,P.Value,adj.P.Val,P.ordinary_t,B,consistent_direction,FDR_significant,moderated_only_candidate,exploratory_candidate
NAA35,-0.36624,1.2889890428392,-0.65689,-0.62783,0.186,-1.9588204798358,0.0813566921248984,0.965864665352879,0.31607454817121816,-4.30278840866706,False,False,False,False
MOB3A,-0.27105,1.20668573953699,-0.145049999999999,-0.30895,-0.35915,-1.95874071705845,0.0813671674990154,0.965864665352879,0.05244710867849601,-4.30281668095258,True,False,False,False
RABEP2,-0.36213,1.28532215151665,-0.60233,-0.66053,0.17647,-1.95849335905848,0.0813996615549907,0.965864665352879,0.3116290595032895,-4.30290435848261,False,False,False,False
LOC105375774,0.360743333333333,1.28408733954357,0.14304,0.89303,0.04616,1.95848017288477,0.0814013940951814,0.965864665352879,0.31003480191674193,-4.30290903241565,True,False,False,False
CCL11,0.27086,1.20652683194566,0.38921,0.16996,0.25341,1.95845505612043,0.0814046943003636,0.965864665352879,0.05138843839132454,-4.30291793523545,True,False,False,False
SIGLEC5,-0.286693333333333,1.21984118700461,-0.40787,-0.0451600000000001,-0.40705,-1.95844890308802,0.0814055027944402,0.965864665352879,0.14089075830230324,-4.30292011622335,True,False,False,False
LOC101927497,0.28133,1.21531474947139,0.21206,0.48745,0.14448,1.95801686535712,0.0814622905759571,0.965864665352879,0.1154302388446809,-4.30307325599217,True,False,False,False
ATP2C2,0.283746666666667,1.21735223614526,0.49431,0.11036,0.24657,1.95798542059762,0.0814664251947276,0.965864665352879,0.12754362678503436,-4.30308440193907,True,False,False,False
LINC00280,-0.267473333333333,1.20369788205731,-0.25328,-0.1987,-0.35044,-1.95781104753097,0.0814893568272659,0.965864665352879,0.02643729510856227,-4.30314621057391,True,False,False,False
ACSM6,0.304753333333333,1.2352074278702,0.52557,0.40783,-0.01914,1.95765092381378,0.0815104199301436,0.965864665352879,0.20686216860210566,-4.3032029685785,False,False,False,False
NAGPA,0.274236666666667,1.20935404784446,0.20239,0.18681,0.43351,1.95746457188231,0.0815349396597491,0.965864665352879,0.07518155245096189,-4.30326902379483,True,False,False,False
C7orf13,0.28462,1.21808938163373,0.4395,0.35503,0.0593300000000001,1.95735232957955,0.0815497115995543,0.965864665352879,0.1322219503369479,-4.30330880988902,True,False,False,False
TCEAL8,0.277683333333333,1.21224670581834,0.42421,0.10534,0.3035,1.95733396930406,0.0815521281926775,0.965864665352879,0.0961585096244503,-4.30331531799467,True,False,False,False
GRTP1,0.2831,1.21680669832427,0.0778300000000001,0.45896,0.31251,1.9566812584436,0.0816380825883438,0.965864665352879,0.12545151271135108,-4.30354668404348,True,False,False,False
DDX11,0.482096666666667,1.39677211896878,-0.18039,1.31575,0.31093,1.95645838187622,0.0816674524871214,0.965864665352879,0.38780509082988346,-4.30362568777461,False,False,False,False
TMX1,-0.420376666666667,1.33827691379207,0.01153,-1.12877,-0.14389,-1.95642903490924,0.0816713204742903,0.965864665352879,0.3601602417078123,-4.30363609051299,False,False,False,False
ANKRD36,-0.3657,1.28850666519644,-0.79698,-0.44907,0.14895,-1.95599173464243,0.081728978068726,0.965864665352879,0.31658869544470614,-4.30379110294148,False,False,False,False
