Gene,logFC,FC_abs,diff_MZ1,diff_MZ2,diff_MZ3,t_moderated,P.Value,adj.P.Val,P.ordinary_t,B,consistent_direction,FDR_significant,moderated_only_candidate,exploratory_candidate
SIGLEC7,-0.679966666666667,1.60210273831841,-0.6039,-0.19726,-1.23874,-3.47175525372664,0.0068831739883506,0.965864665352879,0.15401627548818186,-3.8260460093631,True,False,True,False
TRAV29DV5,-0.598623333333333,1.51427091017804,-1.03357,-0.251,-0.5113,-3.46566481134352,0.0069501243301612,0.965864665352879,0.12141019179497287,-3.8276224120663,True,False,True,False
OR1E2,0.661283333333333,1.58148879398572,0.60224,1.18703,0.19458,3.46546806949526,0.0069522983593269,0.965864665352879,0.1485531230455118,-3.82767338584387,True,False,True,False
OR10H2,-0.59702,1.51258896607416,-1.06246,-0.36725,-0.36135,-3.44099213829955,0.0072283788540834,0.965864665352879,0.12425748495136339,-3.83403959407198,True,False,True,False
TFB2M,0.60883,1.52502194167627,1.09556,0.41241,0.31852,3.43724527084627,0.0072716419527781,0.965864665352879,0.13077153972035846,-3.83501849390122,True,False,True,False
CBY3,0.60147,1.51726175715141,0.95019,0.71275,0.14147,3.4240701432033,0.0074259257306846,0.965864665352879,0.12909281328253885,-3.83846975651623,True,False,True,False
SLC35G6,-0.658123333333333,1.57802857868622,-0.84501,-0.07686,-1.0525,-3.39713162524521,0.0077521031804708,0.965864665352879,0.15683068394118882,-3.84557078225675,True,False,True,False
GLYR1,-0.58861,1.5037971788552,-0.77449,-0.86957,-0.12177,-3.37930079668159,0.0079761872304634,0.965864665352879,0.12923915826125149,-3.85030384926055,True,False,True,False
ALDH3B1,0.60413,1.52006182168409,0.51261,1.08056,0.21922,3.36451226883203,0.0081671531807643,0.965864665352879,0.13942303677178958,-3.8542492232211,True,False,True,False
HMGB3P1,0.725183333333333,1.6531106952812,0.524,1.42336,0.22819,3.36156824564527,0.0082057344939405,0.965864665352879,0.181093418462739,-3.85503679853797,True,False,True,False
FTX,-0.650403333333333,1.56960694847421,-0.55299,-1.20664,-0.19158,-3.35551785655078,0.0082856213511659,0.965864665352879,0.15997837270841428,-3.85665762125556,True,False,True,False
LOC100288778,0.692816666666667,1.61643631270903,0.10108,1.26179,0.71558,3.34625509220808,0.0084094946250553,0.965864665352879,0.17474754237608756,-3.85914484532887,True,False,True,False
OR1S2,0.608563333333333,1.52474008381716,1.12708,0.44048,0.25813,3.321414643378,0.0087512943036782,0.965864665352879,0.14810895236031482,-3.8658498982414,True,False,True,False
MIR4312,-0.86912,1.82654842173229,-1.82024,-0.51561,-0.27151,-3.3114290942296,0.008892734798803,0.965864665352879,0.21236546794426003,-3.86855958962378,True,False,True,False
LINC00202-2,-0.69266,1.61626078847683,-1.34639,-0.53765,-0.19394,-3.30944200784441,0.0089211631921076,0.965864665352879,0.17978058878767308,-3.86909978941735,True,False,True,False
TRAJ7,-0.633283333333333,1.55109100418437,-0.34399,-1.22349,-0.33237,-3.27808570201462,0.0093824779981493,0.965864665352879,0.16502653423911168,-3.87766730200246,True,False,True,False
FNDC9,0.597186666666667,1.51276371729752,0.37372,1.13832,0.27952,3.21799383093519,0.0103370274819262,0.965864665352879,0.1592451059460002,-3.89431293275204,True,False,True,False
GZMK,0.63398,1.55184019532747,0.69118,0.0624900000000002,1.14827,3.17215352988678,0.011132499155722,0.965864665352879,0.18157143706850376,-3.90721087736032,True,False,True,False
LOC105375753,-0.608456666666667,1.52462735526026,-1.04474,-0.03739,-0.74324,-3.13117509211395,0.0118971592708469,0.965864665352879,0.17838253519540678,-3.91888701505989,True,False,True,False
LINC01004,-0.64204,1.56053422694358,-0.24633,-1.29686,-0.38293,-3.13033555838643,0.0119133800814378,0.965864665352879,0.19092575688162133,-3.91912766547472,True,False,True,False
TRBV5-1,0.59135,1.50665593931065,0.95556,0.03495,0.78354,3.12820803597862,0.0119545886819536,0.965864665352879,0.171470769778826,-3.91973777325848,True,False,True,False
RNU6-66P,0.652616666666667,1.57201683381977,1.17026,0.0079799999999999,0.77961,3.11873677524145,0.0121398328450181,0.965864665352879,0.1961491275055447,-3.9224583330709,True,False,True,False
LOC101928215,0.63092,1.54855218335919,1.29104,0.29892,0.3028,3.07460878172564,0.0130427414850179,0.965864665352879,0.19609548302829494,-3.9352303822311,True,False,True,False
MOB1B,-0.81865,1.76375478890613,-0.26671,-1.79866,-0.39058,-3.06943557853716,0.0131530297821465,0.965864665352879,0.23758382242419282,-3.9367380589706,True,False,True,False
KLRF1,-0.79305,1.73273376373571,-0.0819700000000001,-1.70258,-0.5946,-3.03325771527087,0.0139516230048891,0.965864665352879,0.2391204849930834,-3.94734239860641,True,False,True,False
ADAMTS7P1,0.649586666666667,1.56871869219038,1.36359,0.19598,0.38919,3.001219697883,0.0147004117589403,0.965864665352879,0.21404123960510385,-3.95682155622047,True,False,True,False
MIR29C,-0.786213333333333,1.72454208163116,-0.57741,-1.7023,-0.07893,-2.99846818127999,0.0147666143354217,0.965864665352879,0.2431688629052564,-3.95763950308666,True,False,True,False
MIR4677,-0.75396,1.6864154624871,-0.22749,-0.37793,-1.65646,-2.99736276492498,0.014793297168249,0.965864665352879,0.23818357226744155,-3.95796828267835,True,False,True,False
LOC101928700,0.70732,1.63276821171838,1.51413,0.5182,0.08963,2.95609878968049,0.0158255399015654,0.965864665352879,0.23566902463993972,-3.97031117913878,True,False,True,False
MIR129-1,-0.611933333333333,1.5283058964052,-0.29455,-0.24053,-1.30072,-2.90803707886309,0.0171213467833139,0.965864665352879,0.21788463018083534,-3.98485787339261,True,False,True,False
BLOC1S2,-0.603343333333333,1.51923319472116,-0.0817100000000002,-1.24049,-0.48783,-2.89322619296232,0.0175421543112443,0.965864665352879,0.21748579040865137,-3.98937727498938,True,False,True,False
LINC01497,-0.611266666666667,1.52759983227114,-1.28516,-0.53611,-0.0125299999999999,-2.78651520092216,0.0209029051433487,0.965864665352879,0.2397100702260288,-4.02244016736089,True,False,True,False
GNLY,-0.645853333333333,1.56466448911301,-0.12848,-1.48053,-0.32855,-2.70197789434909,0.0240249637431797,0.965864665352879,0.26500267505248404,-4.04924081871439,True,False,True,False
PSME2,0.59625,1.5117818774559,1.36078,0.23022,0.19775,2.65914935866854,0.0257826710761739,0.965864665352879,0.25926981174011493,-4.06301620041753,True,False,True,False
TRDJ4,0.615133333333333,1.53169954964974,0.0812200000000001,0.35358,1.4106,2.64083694537,0.0265732828169761,0.965864665352879,0.26849415336961135,-4.06894563402483,True,False,True,False
DKFZP586I1420,-0.783186666666667,1.72092791333351,-0.0742499999999997,-1.91002,-0.36529,-2.62010955343413,0.0274976545683164,0.965864665352879,0.3029386209987856,-4.07568501183982,True,False,True,False
F8A1,0.641466666666667,1.55991418701262,0.04034,0.23064,1.65342,2.34227711191302,0.0434853626791299,0.965864665352879,0.33466546615825715,-4.16864840942527,True,False,True,False
